AddOfficeProduct'; Ordinal: 1
AddOfficeProductEx'; Ordinal: 2
ApplyCloudPolicy'; Ordinal: 3
ApplyCloudPolicyForIdentity'; Ordinal: 4
C2rVersion'; Ordinal: 5
CheckProcessForCorruption'; Ordinal: 6
CleanupWindowsDefenderFirewallRulesForOffice'; Ordinal: 7
ClearPropertyBagValue'; Ordinal: 8
CollectFileInformation'; Ordinal: 9
DeleteAFOScheduledTask'; Ordinal: 10
DetectWindowsDefenderFirewallRulesForOffice'; Ordinal: 11
EnableUpdate'; Ordinal: 12
EnsureConnection'; Ordinal: 13
EnsurePerpetualLicensesFolderExists'; Ordinal: 14
FetchDBSLicense'; Ordinal: 15
GetInstalledProducts'; Ordinal: 16
GetInstalledProductsEx'; Ordinal: 17
GetPackageRoot'; Ordinal: 18
GetProperty'; Ordinal: 19
GetPropertyEx'; Ordinal: 20
GetStatusValue'; Ordinal: 21
GetStatusValueEx'; Ordinal: 22
GetTotalProgress'; Ordinal: 23
GetUpdateStatus'; Ordinal: 24
HandleError'; Ordinal: 25
HandleErrorEx'; Ordinal: 26
HandleScheduledHeartbeat'; Ordinal: 27
HandleScheduledHeartbeatEx'; Ordinal: 28
HrActivate'; Ordinal: 29
HrActivateEx'; Ordinal: 30
HrApplyUpdatesNow'; Ordinal: 31
HrApplyUpdatesNowEx'; Ordinal: 32
HrBeginUpdatesDiscoveryPeriod'; Ordinal: 33
HrBeginUpdatesDiscoveryPeriodEx'; Ordinal: 34
HrDownloadUpdatesNow'; Ordinal: 35
HrDownloadUpdatesNowEx'; Ordinal: 36
HrGetAppVFlight'; Ordinal: 37
HrGetAreUpdatesCOMManaged'; Ordinal: 38
HrGetAreUpdatesEnabled'; Ordinal: 39
HrGetAreUpdatesEnabledEx'; Ordinal: 40
HrGetAreUpdatesFromAdminSource'; Ordinal: 41
HrGetAreUpdatesFromAdminSourceEx'; Ordinal: 42
HrGetAreUpdatesLate'; Ordinal: 43
HrGetAreUpdatesLateEx'; Ordinal: 44
HrGetAreUpdatesReadyForDownload'; Ordinal: 45
HrGetAreUpdatesReadyForDownloadEx'; Ordinal: 46
HrGetAreUpdatesReadyToApply'; Ordinal: 47
HrGetAreUpdatesReadyToApplyEx'; Ordinal: 48
HrGetChannelIdForDisplay'; Ordinal: 49
HrGetClientFolder'; Ordinal: 50
HrGetContainerInstallCommand'; Ordinal: 51
HrGetDeviceBasedLicensing'; Ordinal: 52
HrGetExecutingScenario'; Ordinal: 53
HrGetInstallationPath'; Ordinal: 54
HrGetPendingModifyOfficeProducts'; Ordinal: 55
HrGetPendingUpdateDeadline'; Ordinal: 56
HrGetPendingUpdateDeadlineEx'; Ordinal: 57
HrInstallProtectedGraceLicense'; Ordinal: 58
HrModifyOfficeProducts'; Ordinal: 59
HrRefreshState'; Ordinal: 60
HrRegisterForRealtimeExitReporting'; Ordinal: 61
HrSetAreUpdatesEnabled'; Ordinal: 62
HrSetAreUpdatesEnabledEx'; Ordinal: 63
HrSetAreUpdatesFromAdminSource'; Ordinal: 64
HrSetAreUpdatesFromAdminSourceEx'; Ordinal: 65
HrSetPrivacySettings'; Ordinal: 66
HrUpdateLicensingStateData'; Ordinal: 67
HrUpdateNow'; Ordinal: 68
HrUpdateNowEx'; Ordinal: 69
HrUpdateNowWithParameters'; Ordinal: 70
InstallProofOfPurchase'; Ordinal: 71
InstallProofOfPurchaseEx'; Ordinal: 72
IsClick2Run'; Ordinal: 73
IsFileInVirtualFolder'; Ordinal: 97
IsOSPPReady'; Ordinal: 74
IsOSPPReadyEx'; Ordinal: 75
IsRepairRequired'; Ordinal: 76
IsRepairRequiredEx'; Ordinal: 77
IsRoaming'; Ordinal: 78
IsStreaming'; Ordinal: 79
Launch'; Ordinal: 80
LicenseRepair'; Ordinal: 81
MigrateOSPPToSPP'; Ordinal: 82
OverridePolicy'; Ordinal: 83
ReArm'; Ordinal: 84
Repair'; Ordinal: 85
RepairEx'; Ordinal: 86
SetProperty'; Ordinal: 87
SetPropertyBagToken'; Ordinal: 88
SetTenantAssociationKey'; Ordinal: 89
SetUpdateBranch'; Ordinal: 90
SetUpdateUrl'; Ordinal: 91
SetUpdateUrlSetByUser'; Ordinal: 92
StartFB'; Ordinal: 93
StartScenario'; Ordinal: 94
UninstallProofOfPurchase'; Ordinal: 95
UninstallProofOfPurchaseEx'; Ordinal: 96
